"Product Name","Brand Name","Product Url","SKU/Product ID","Price","Discounted Price","In Stock","Image Url","Category ID","Additional Attributes"
"Samsung 48 Inch 4K UHD Smart LED TV - 48JU6000","Samsung","http://uae.souq.com/ae-en/samsung-48-inch-4k-uhd-smart-led-tv-48ju6000-9058843/i/","","4299.0","2099.0","True","/home/king/shop_scraper/shopscraper/spiders/images/item_XL_9058843_9599373.jpg","572bdcaadf2ff6e18e705a46","[{"name": "Display Size", "value": 48}]"
"Samsung 50 Inch Full HD Smart LED Television - UA50J5500","Samsung","http://uae.souq.com/ae-en/samsung-50-inch-full-hd-smart-led-television-ua50j5500-8323559/i/","","2999.0","2145.0","True","/home/king/shop_scraper/shopscraper/spiders/images/item_XL_8323559_7941310.jpg","572bdcaadf2ff6e18e705a46","[{"name": "Display Size", "value": 50}]"
"LG 49 Inch 4K UHD Smart LED TV - 49UF640T","LG","http://uae.souq.com/ae-en/lg-49-inch-4k-uhd-smart-led-tv-49uf640t-9138426/i/","","3499.0","1999.0","True","/home/king/shop_scraper/shopscraper/spiders/images/item_XL_9138426_9767441.jpg","572bdcaadf2ff6e18e705a46","[{"name": "Display Size", "value": 49}]"
"Samsung 55 Inch 4K Ultra HD 3D Smart LED Television - UA55JU7000","Samsung","http://uae.souq.com/ae-en/samsung-55-inch-4k-ultra-hd-3d-smart-led-television-ua55ju7000-8323666/i/","","6999.0","4299.0","True","/home/king/shop_scraper/shopscraper/spiders/images/item_XL_8323666_7941475.jpg","572bdcaadf2ff6e18e705a46","[{"name": "Display Size", "value": 55}]"
"Samsung 32 Inch Smart LED TV - UA32J4303","Samsung","http://uae.souq.com/ae-en/samsung-32-inch-smart-led-tv-ua32j4303-8939866/i/","","1699.0","799.0","True","/home/king/shop_scraper/shopscraper/spiders/images/item_XL_8939866_9163197.jpg","572bdcaadf2ff6e18e705a46","[{"name": "Display Size", "value": 32}]"
"Samsung 65 Inch 4K Ultra HD Flat Smart LED TV - UA65JU6400RXEG","Samsung","http://uae.souq.com/ae-en/samsung-65-inch-4k-ultra-hd-flat-smart-led-tv-ua65ju6400rxeg-8323623/i/","","9999.0","5999.0","True","/home/king/shop_scraper/shopscraper/spiders/images/item_XL_8323623_7941406.jpg","572bdcaadf2ff6e18e705a46","[{"name": "Display Size", "value": 65}]"
"LG 49 Inch Full HD LED Game TV - 49LF540T","LG","http://uae.souq.com/ae-en/lg-49-inch-full-hd-led-game-tv-49lf540t-8208111/i/","2724302541013","2599.0","1499.0","True","/home/king/shop_scraper/shopscraper/spiders/images/item_XL_8208111_10343825.jpg","572bdcaadf2ff6e18e705a46","[{"name": "Display Size", "value": "49 Inch"}]"
"Samsung 55 Inch 4K Ultra HD Flat Smart LED TV - UA55JU6400RXEG","Samsung","http://uae.souq.com/ae-en/samsung-55-inch-4k-ultra-hd-flat-smart-led-tv-ua55ju6400rxeg-8323616/i/","","6299.0","3299.0","True","/home/king/shop_scraper/shopscraper/spiders/images/item_XL_8323616_7941396.jpg","572bdcaadf2ff6e18e705a46","[{"name": "Display Size", "value": 55}]"
"Samsung 55 Inch 4K UHD Smart LED Television - 55JS7200","Samsung","http://uae.souq.com/ae-en/samsung-55-inch-4k-uhd-smart-led-television-55js7200-9058834/i/","","5999.0","3599.0","True","/home/king/shop_scraper/shopscraper/spiders/images/item_XL_9058834_9599276.jpg","572bdcaadf2ff6e18e705a46","[{"name": "Display Size", "value": 55}]"
"Samsung 60 Inch UHD Smart TV - 60JU6400","Samsung","http://uae.souq.com/ae-en/samsung-60-inch-uhd-smart-tv-60ju6400-8717001/i/","","8999.0","4999.0","True","/home/king/shop_scraper/shopscraper/spiders/images/item_XL_8717001_8756796.jpg","572bdcaadf2ff6e18e705a46","[{"name": "Display Size", "value": 60}]"
"LG 42 Inch Full HD LED TV - 42LF550T","LG","http://uae.souq.com/ae-en/lg-42-inch-full-hd-led-tv-42lf550t-8383556/i/","","1649.0","1099.0","True","/home/king/shop_scraper/shopscraper/spiders/images/item_XL_8383556_8057576.jpg","572bdcaadf2ff6e18e705a46","[{"name": "Display Size", "value": 42}]"
"LG 43 Inch 4K UHD Smart LED Television - 43UF640T","LG","http://uae.souq.com/ae-en/lg-43-inch-4k-uhd-smart-led-television-43uf640t-9189723/i/","","2999.0","1399.0","True","/home/king/shop_scraper/shopscraper/spiders/images/item_XL_9189723_9810661.jpg","572bdcaadf2ff6e18e705a46","[{"name": "Display Size", "value": 43}]"
"LG 60 Inch 4K UHD Smart LED Television - 60UF770T","LG","http://uae.souq.com/ae-en/lg-60-inch-4k-uhd-smart-led-television-60uf770t-8554266/i/","","6699.0","4199.0","True","/home/king/shop_scraper/shopscraper/spiders/images/item_XL_8554266_8436058.jpg","572bdcaadf2ff6e18e705a46","[{"name": "Display Size", "value": 60}]"
"LG 32 Inch LED TV - HD 32LF550D","LG","http://uae.souq.com/ae-en/lg-32-inch-led-tv-hd-32lf550d-8581524/i/","","999.0","649.0","True","/home/king/shop_scraper/shopscraper/spiders/images/item_XL_8581524_10343820.jpg","572bdcaadf2ff6e18e705a46","[{"name": "Display Size", "value": 32}]"
"Samsung 32 Inch HD Flat LED Television - UA32J4003ARXEG","Samsung","http://uae.souq.com/ae-en/samsung-32-inch-hd-flat-led-television-ua32j4003arxeg-8323564/i/","","1299.0","689.0","True","/home/king/shop_scraper/shopscraper/spiders/images/item_XL_8323564_7941322.jpg","572bdcaadf2ff6e18e705a46","[{"name": "Display Size", "value": 32}]"
